frequency	mag	phase
1	-0.0069113953	-0.000353051875
1.12201845	-0.00691139534	-0.000396130719
1.25892541	-0.00691139539	-0.000444465977
1.41253754	-0.00691139546	-0.000498699028
1.58489319	-0.00691139554	-0.000559549513
1.77827941	-0.00691139564	-0.00062782488
1.99526231	-0.00691139577	-0.000704431101
2.23872114	-0.00691139593	-0.000790384695
2.51188643	-0.00691139613	-0.000886826214
2.81838293	-0.00691139638	-0.000995035378
3.16227766	-0.0069113967	-0.00111644806
3.54813389	-0.00691139711	-0.00125267532
3.98107171	-0.00691139762	-0.00140552483
4.46683592	-0.00691139826	-0.0015770248
5.01187234	-0.00691139906	-0.00176945092
5.62341325	-0.00691140008	-0.00198535659
6.30957344	-0.00691140135	-0.00222760673
7.07945784	-0.00691140296	-0.00249941586
7.94328235	-0.00691140499	-0.00280439072
8.91250938	-0.00691140753	-0.00314657814
10	-0.00691141074	-0.00353051874
11.2201845	-0.00691141478	-0.00396130718
12.5892541	-0.00691141986	-0.00444465976
14.1253754	-0.00691142626	-0.00498699027
15.8489319	-0.00691143432	-0.00559549511
17.7827941	-0.00691144447	-0.00627824877
19.9526231	-0.00691145724	-0.00704431098
22.3872114	-0.00691147331	-0.00790384691
25.1188643	-0.00691149355	-0.00886826207
28.1838293	-0.00691151903	-0.00995035369
31.6227766	-0.00691155111	-0.0111644804
35.4813389	-0.00691159149	-0.012526753
39.8107171	-0.00691164233	-0.014055248
44.6683592	-0.00691170634	-0.0157702476
50.1187234	-0.00691178691	-0.0176945087
56.2341325	-0.00691188835	-0.0198535652
63.0957344	-0.00691201606	-0.0222760663
70.7945784	-0.00691217683	-0.0249941572
79.4328235	-0.00691237922	-0.0280439052
89.1250938	-0.00691263402	-0.0314657786
100	-0.0069129548	-0.0353051834
112.201845	-0.00691335864	-0.0396130661
125.892541	-0.00691386703	-0.0444465895
141.253754	-0.00691450707	-0.0498698913
158.489319	-0.00691531283	-0.0559549349
177.827941	-0.00691632721	-0.0627824649
199.526231	-0.00691760425	-0.0704430775
223.872114	-0.00691921194	-0.0790384234
251.188643	-0.00692123591	-0.0886825563
281.838293	-0.00692378393	-0.0995034458
316.227766	-0.00692699169	-0.111644676
354.813389	-0.00693103002	-0.125267349
398.107171	-0.00693611398	-0.140552224
446.683592	-0.00694251429	-0.157702114
