 frequency       mag             phase          
 1.00000000e+00 -6.91234112e-03 -3.53057604e-04 
 1.12201845e+00 -6.91234116e-03 -3.96137147e-04 
 1.25892541e+00 -6.91234121e-03 -4.44473190e-04 
 1.41253754e+00 -6.91234127e-03 -4.98707121e-04 
 1.58489319e+00 -6.91234136e-03 -5.59558593e-04 
 1.77827941e+00 -6.91234146e-03 -6.27835068e-04 
 1.99526231e+00 -6.91234158e-03 -7.04442532e-04 
 2.23872114e+00 -6.91234175e-03 -7.90397521e-04 
 2.51188643e+00 -6.91234195e-03 -8.86840605e-04 
 2.81838293e+00 -6.91234220e-03 -9.95051525e-04 
 3.16227766e+00 -6.91234252e-03 -1.11646617e-03 
 3.54813389e+00 -6.91234293e-03 -1.25269565e-03 
 3.98107171e+00 -6.91234344e-03 -1.40554764e-03 
 4.46683592e+00 -6.91234408e-03 -1.57705039e-03 
 5.01187234e+00 -6.91234488e-03 -1.76947964e-03 
 5.62341325e+00 -6.91234590e-03 -1.98538881e-03 
 6.30957344e+00 -6.91234717e-03 -2.22764288e-03 
 7.07945784e+00 -6.91234878e-03 -2.49945642e-03 
 7.94328235e+00 -6.91235081e-03 -2.80443623e-03 
 8.91250938e+00 -6.91235336e-03 -3.14662921e-03 
 1.00000000e+01 -6.91235656e-03 -3.53057604e-03 
 1.12201845e+01 -6.91236060e-03 -3.96137147e-03 
 1.25892541e+01 -6.91236569e-03 -4.44473189e-03 
 1.41253754e+01 -6.91237209e-03 -4.98707120e-03 
 1.58489319e+01 -6.91238015e-03 -5.59558592e-03 
 1.77827941e+01 -6.91239030e-03 -6.27835066e-03 
 1.99526231e+01 -6.91240307e-03 -7.04442529e-03 
 2.23872114e+01 -6.91241915e-03 -7.90397517e-03 
 2.51188643e+01 -6.91243940e-03 -8.86840599e-03 
 2.81838293e+01 -6.91246488e-03 -9.95051516e-03 
 3.16227766e+01 -6.91249697e-03 -1.11646616e-02 
 3.54813389e+01 -6.91253736e-03 -1.25269563e-02 
 3.98107171e+01 -6.91258821e-03 -1.40554761e-02 
 4.46683592e+01 -6.91265223e-03 -1.57705035e-02 
 5.01187234e+01 -6.91273283e-03 -1.76947959e-02 
 5.62341325e+01 -6.91283429e-03 -1.98538874e-02 
 6.30957344e+01 -6.91296203e-03 -2.22764278e-02 
 7.07945784e+01 -6.91312284e-03 -2.49945628e-02 
 7.94328235e+01 -6.91332529e-03 -2.80443603e-02 
 8.91250938e+01 -6.91358015e-03 -3.14662892e-02 
 1.00000000e+02 -6.91390101e-03 -3.53057563e-02 
 1.12201845e+02 -6.91430494e-03 -3.96137089e-02 
 1.25892541e+02 -6.91481347e-03 -4.44473108e-02 
 1.41253754e+02 -6.91545366e-03 -4.98707005e-02 
 1.58489319e+02 -6.91625962e-03 -5.59558430e-02 
