v-sweep	v(v1)	v(v2)	v(vout)
0	0	0	1.41054151
0.01	0.01	0	1.41117685
0.02	0.02	0	1.41087902
0.03	0.03	0	1.41000453
0.04	0.04	0	1.41271849
0.05	0.05	0	1.41282004
0.06	0.06	0	1.40956019
0.07	0.07	0	1.41304135
0.08	0.08	0	1.40904593
0.09	0.09	0	1.41201777
0.1	0.1	0	1.40974954
0.11	0.11	0	1.41236185
0.12	0.12	0	1.4116547
0.13	0.13	0	1.79942987
0.14	0.14	0	1.79999142
0.15	0.15	0	1.79999656
0.16	0.16	0	1.79999788
0.17	0.17	0	1.79999835
0.18	0.18	0	1.79999866
0.19	0.19	0	1.79999884
0.2	0.2	0	1.79999896
0.21	0.21	0	1.79999905
0.22	0.22	0	1.79999912
0.23	0.23	0	1.79999917
0.24	0.24	0	1.79999921
0.25	0.25	0	1.79999925
0.26	0.26	0	1.79999927
0.27	0.27	0	1.79999929
0.28	0.28	0	1.79999932
0.29	0.29	0	1.79999933
0.3	0.3	0	1.79999934
0.31	0.31	0	1.79999935
0.32	0.32	0	1.79999936
0.33	0.33	0	1.79999937
0.34	0.34	0	1.79999937
0.35	0.35	0	1.79999938
0.36	0.36	0	1.79999939
0.37	0.37	0	1.79999939
0.38	0.38	0	1.79999939
0.39	0.39	0	1.79999939
0.4	0.4	0	1.7999994
0.41	0.41	0	1.7999994
0.42	0.42	0	1.7999994
0.43	0.43	0	1.7999994
0.44	0.44	0	1.7999994
0.45	0.45	0	1.7999994
0.46	0.46	0	1.7999994
0.47	0.47	0	1.7999994
0.48	0.48	0	1.7999994
0.49	0.49	0	1.7999994
0.5	0.5	0	1.7999994
0.51	0.51	0	1.7999994
0.52	0.52	0	1.7999994
0.53	0.53	0	1.7999994
0.54	0.54	0	1.7999994
0.55	0.55	0	1.7999994
0.56	0.56	0	1.7999994
0.57	0.57	0	1.7999994
0.58	0.58	0	1.7999994
0.59	0.59	0	1.7999994
0.6	0.6	0	1.7999994
0.61	0.61	0	1.7999994
0.62	0.62	0	1.7999994
0.63	0.63	0	1.7999994
0.64	0.64	0	1.7999994
0.65	0.65	0	1.7999994
0.66	0.66	0	1.7999994
0.67	0.67	0	1.7999994
0.68	0.68	0	1.7999994
0.69	0.69	0	1.7999994
0.7	0.7	0	1.7999994
0.71	0.71	0	1.7999994
0.72	0.72	0	1.7999994
0.73	0.73	0	1.7999994
0.74	0.74	0	1.7999994
0.75	0.75	0	1.7999994
0.76	0.76	0	1.7999994
0.77	0.77	0	1.7999994
0.78	0.78	0	1.7999994
0.79	0.79	0	1.7999994
0.8	0.8	0	1.7999994
0.81	0.81	0	1.7999994
0.82	0.82	0	1.7999994
0.83	0.83	0	1.7999994
0.84	0.84	0	1.7999994
0.85	0.85	0	1.7999994
0.86	0.86	0	1.7999994
0.87	0.87	0	1.7999994
0.88	0.88	0	1.7999994
0.89	0.89	0	1.7999994
0.9	0.9	0	1.7999994
0.91	0.91	0	1.7999994
0.92	0.92	0	1.7999994
0.93	0.93	0	1.7999994
0.94	0.94	0	1.7999994
0.95	0.95	0	1.7999994
0.96	0.96	0	1.7999994
0.97	0.97	0	1.7999994
0.98	0.98	0	1.7999994
0.99	0.99	0	1.7999994
1	1	0	1.7999994
1.01	1.01	0	1.7999994
1.02	1.02	0	1.7999994
1.03	1.03	0	1.7999994
1.04	1.04	0	1.7999994
1.05	1.05	0	1.7999994
1.06	1.06	0	1.7999994
1.07	1.07	0	1.7999994
1.08	1.08	0	1.7999994
1.09	1.09	0	1.7999994
1.1	1.1	0	1.7999994
1.11	1.11	0	1.7999994
1.12	1.12	0	1.7999994
1.13	1.13	0	1.7999994
1.14	1.14	0	1.7999994
1.15	1.15	0	1.7999994
1.16	1.16	0	1.7999994
1.17	1.17	0	1.7999994
1.18	1.18	0	1.7999994
1.19	1.19	0	1.7999994
1.2	1.2	0	1.7999994
1.21	1.21	0	1.7999994
1.22	1.22	0	1.7999994
1.23	1.23	0	1.7999994
1.24	1.24	0	1.7999994
1.25	1.25	0	1.7999994
1.26	1.26	0	1.7999994
1.27	1.27	0	1.7999994
1.28	1.28	0	1.7999994
1.29	1.29	0	1.7999994
1.3	1.3	0	1.7999994
1.31	1.31	0	1.7999994
1.32	1.32	0	1.7999994
1.33	1.33	0	1.7999994
1.34	1.34	0	1.7999994
1.35	1.35	0	1.7999994
1.36	1.36	0	1.7999994
1.37	1.37	0	1.7999994
1.38	1.38	0	1.7999994
1.39	1.39	0	1.7999994
1.4	1.4	0	1.7999994
1.41	1.41	0	1.7999994
1.42	1.42	0	1.7999994
1.43	1.43	0	1.7999994
1.44	1.44	0	1.7999994
1.45	1.45	0	1.7999994
1.46	1.46	0	1.7999994
1.47	1.47	0	1.7999994
1.48	1.48	0	1.7999994
1.49	1.49	0	1.7999994
1.5	1.5	0	1.7999994
1.51	1.51	0	1.7999994
1.52	1.52	0	1.7999994
1.53	1.53	0	1.7999994
1.54	1.54	0	1.7999994
1.55	1.55	0	1.7999994
1.56	1.56	0	1.7999994
1.57	1.57	0	1.7999994
1.58	1.58	0	1.7999994
1.59	1.59	0	1.7999994
1.6	1.6	0	1.7999994
1.61	1.61	0	1.7999994
1.62	1.62	0	1.7999994
1.63	1.63	0	1.7999994
1.64	1.64	0	1.7999994
1.65	1.65	0	1.7999994
1.66	1.66	0	1.7999994
1.67	1.67	0	1.7999994
1.68	1.68	0	1.7999994
1.69	1.69	0	1.7999994
1.7	1.7	0	1.7999994
1.71	1.71	0	1.7999994
1.72	1.72	0	1.7999994
1.73	1.73	0	1.7999994
1.74	1.74	0	1.7999994
