 v-sweep         v(v1)           v(v2)           v(vout)        
 0.00000000e+00  0.00000000e+00  0.00000000e+00  9.93246739e-01 
 1.00000000e-02  1.00000000e-02  0.00000000e+00  1.75438513e+00 
 2.00000000e-02  2.00000000e-02  0.00000000e+00  1.77015685e+00 
 3.00000000e-02  3.00000000e-02  0.00000000e+00  1.77888912e+00 
 4.00000000e-02  4.00000000e-02  0.00000000e+00  1.78346189e+00 
 5.00000000e-02  5.00000000e-02  0.00000000e+00  1.78693707e+00 
 6.00000000e-02  6.00000000e-02  0.00000000e+00  1.78975640e+00 
 7.00000000e-02  7.00000000e-02  0.00000000e+00  1.79194932e+00 
 8.00000000e-02  8.00000000e-02  0.00000000e+00  1.79367198e+00 
 9.00000000e-02  9.00000000e-02  0.00000000e+00  1.79504060e+00 
 1.00000000e-01  1.00000000e-01  0.00000000e+00  1.79613242e+00 
 1.10000000e-01  1.10000000e-01  0.00000000e+00  1.79700318e+00 
 1.20000000e-01  1.20000000e-01  0.00000000e+00  1.79769492e+00 
 1.30000000e-01  1.30000000e-01  0.00000000e+00  1.79824029e+00 
 1.40000000e-01  1.40000000e-01  0.00000000e+00  1.79866547e+00 
 1.50000000e-01  1.50000000e-01  0.00000000e+00  1.79899216e+00 
 1.60000000e-01  1.60000000e-01  0.00000000e+00  1.79923889e+00 
 1.70000000e-01  1.70000000e-01  0.00000000e+00  1.79942183e+00 
 1.80000000e-01  1.80000000e-01  0.00000000e+00  1.79955510e+00 
 1.90000000e-01  1.90000000e-01  0.00000000e+00  1.79965080e+00 
 2.00000000e-01  2.00000000e-01  0.00000000e+00  1.79971887e+00 
 2.10000000e-01  2.10000000e-01  0.00000000e+00  1.79976710e+00 
 2.20000000e-01  2.20000000e-01  0.00000000e+00  1.79980128e+00 
 2.30000000e-01  2.30000000e-01  0.00000000e+00  1.79982562e+00 
 2.40000000e-01  2.40000000e-01  0.00000000e+00  1.79984304e+00 
 2.50000000e-01  2.50000000e-01  0.00000000e+00  1.79985559e+00 
 2.60000000e-01  2.60000000e-01  0.00000000e+00  1.79986469e+00 
 2.70000000e-01  2.70000000e-01  0.00000000e+00  1.79987130e+00 
 2.80000000e-01  2.80000000e-01  0.00000000e+00  1.79987613e+00 
 2.90000000e-01  2.90000000e-01  0.00000000e+00  1.79987966e+00 
 3.00000000e-01  3.00000000e-01  0.00000000e+00  1.79988225e+00 
 3.10000000e-01  3.10000000e-01  0.00000000e+00  1.79988414e+00 
 3.20000000e-01  3.20000000e-01  0.00000000e+00  1.79988553e+00 
 3.30000000e-01  3.30000000e-01  0.00000000e+00  1.79988655e+00 
 3.40000000e-01  3.40000000e-01  0.00000000e+00  1.79988729e+00 
 3.50000000e-01  3.50000000e-01  0.00000000e+00  1.79988783e+00 
 3.60000000e-01  3.60000000e-01  0.00000000e+00  1.79988823e+00 
 3.70000000e-01  3.70000000e-01  0.00000000e+00  1.79988852e+00 
 3.80000000e-01  3.80000000e-01  0.00000000e+00  1.79988873e+00 
 3.90000000e-01  3.90000000e-01  0.00000000e+00  1.79988889e+00 
 4.00000000e-01  4.00000000e-01  0.00000000e+00  1.79988900e+00 
 4.10000000e-01  4.10000000e-01  0.00000000e+00  1.79988908e+00 
