v-sweep	v(Vin)	i(Vout)	v(Vout)	v(V2)
0	0	-2.72459673E-07	0.9	0.6
0.01	0.01	-2.72459673E-07	0.9	0.6
0.02	0.02	-2.72459637E-07	0.9	0.6
0.03	0.03	-2.72459637E-07	0.9	0.6
0.04	0.04	-2.72459651E-07	0.9	0.6
0.05	0.05	-2.72459637E-07	0.9	0.6
0.06	0.06	-2.7245963E-07	0.9	0.6
0.07	0.07	-2.72459616E-07	0.9	0.6
0.08	0.08	-2.72459602E-07	0.9	0.6
0.09	0.09	-2.72459602E-07	0.9	0.6
0.1	0.1	-2.72459587E-07	0.9	0.6
0.11	0.11	-2.72459559E-07	0.9	0.6
0.12	0.12	-2.72459545E-07	0.9	0.6
0.13	0.13	-2.72459523E-07	0.9	0.6
0.14	0.14	-2.72459452E-07	0.9	0.6
0.15	0.15	-2.72459424E-07	0.9	0.6
0.16	0.16	-2.72459275E-07	0.9	0.6
0.17	0.17	-2.72458884E-07	0.9	0.6
0.18	0.18	-2.72457392E-07	0.9	0.6
0.19	0.19	-2.72455154E-07	0.9	0.6
0.2	0.2	-2.72452084E-07	0.9	0.6
0.21	0.21	-2.72447977E-07	0.9	0.6
0.22	0.22	-2.72442037E-07	0.9	0.6
0.23	0.23	-2.72429418E-07	0.9	0.6
0.24	0.24	-2.72386188E-07	0.9	0.6
0.25	0.25	-2.72245437E-07	0.9	0.6
0.26	0.26	-2.71918722E-07	0.9	0.6
0.27	0.27	-2.71383641E-07	0.9	0.6
0.28	0.28	-2.70709407E-07	0.9	0.6
0.29	0.29	-2.69998004E-07	0.9	0.6
0.3	0.3	-2.69267773E-07	0.9	0.6
0.31	0.31	-2.68558729E-07	0.9	0.6
0.32	0.32	-2.67868003E-07	0.9	0.6
0.33	0.33	-2.67174372E-07	0.9	0.6
0.34	0.34	-2.66449923E-07	0.9	0.6
0.35	0.35	-2.65661335E-07	0.9	0.6
0.36	0.36	-2.64769362E-07	0.9	0.6
0.37	0.37	-2.63728303E-07	0.9	0.6
0.38	0.38	-2.62484683E-07	0.9	0.6
0.39	0.39	-2.60975803E-07	0.9	0.6
0.4	0.4	-2.59128122E-07	0.9	0.6
0.41	0.41	-2.56856652E-07	0.9	0.6
0.42	0.42	-2.54064005E-07	0.9	0.6
0.43	0.43	-2.50640532E-07	0.9	0.6
0.44	0.44	-2.46465497E-07	0.9	0.6
0.45	0.45	-2.41408358E-07	0.9	0.6
0.46	0.46	-2.353326E-07	0.9	0.6
0.47	0.47	-2.28098941E-07	0.9	0.6
0.48	0.48	-2.19570467E-07	0.9	0.6
0.49	0.49	-2.09618584E-07	0.9	0.6
0.5	0.5	-1.98129563E-07	0.9	0.6
0.51	0.51	-1.85012496E-07	0.9	0.6
0.52	0.52	-1.70207429E-07	0.9	0.6
0.53	0.53	-1.53694174E-07	0.9	0.6
0.54	0.54	-1.35500578E-07	0.9	0.6
0.55	0.55	-1.15709973E-07	0.9	0.6
0.56	0.56	-9.44654985E-08	0.9	0.6
0.57	0.57	-7.19714777E-08	0.9	0.6
0.58	0.58	-4.84898592E-08	0.9	0.6
0.59	0.59	-2.43314489E-08	0.9	0.6
0.6	0.6			
0.61	0.61			
0.62	0.62			
0.63	0.63			
0.64	0.64			
0.65	0.65			
0.66	0.66			
0.67	0.67			
0.68	0.68			
0.69	0.69			
0.7	0.7			
0.71	0.71			
0.72	0.72			
0.73	0.73			
0.74	0.74			
0.75	0.75			
0.76	0.76			
0.77	0.77			
0.78	0.78			
0.79	0.79			
0.8	0.8			
0.81	0.81			
0.82	0.82			
0.83	0.83			
0.84	0.84			
0.85	0.85			
0.86	0.86			
0.87	0.87			
0.88	0.88			
0.89	0.89			
0.9	0.9			
0.91	0.91			
0.92	0.92			
0.93	0.93			
0.94	0.94			
0.95	0.95			
0.96	0.96			
0.97	0.97			
0.98	0.98			
0.99	0.99			
1	1			
1.01	1.01			
1.02	1.02			
1.03	1.03			
1.04	1.04			
1.05	1.05			
1.06	1.06			
1.07	1.07			
1.08	1.08			
1.09	1.09			
1.1	1.1			
1.11	1.11			
1.12	1.12			
1.13	1.13			
1.14	1.14			
1.15	1.15			
1.16	1.16			
1.17	1.17			
1.18	1.18			
1.19	1.19			
1.2	1.2			
1.21	1.21			
1.22	1.22			
1.23	1.23			
1.24	1.24			
1.25	1.25			
1.26	1.26			
1.27	1.27			
1.28	1.28			
1.29	1.29			
1.3	1.3			
1.31	1.31			
1.32	1.32			
1.33	1.33			
1.34	1.34			
1.35	1.35			
1.36	1.36			
1.37	1.37			
1.38	1.38			
1.39	1.39			
1.4	1.4			
1.41	1.41			
1.42	1.42			
1.43	1.43			
1.44	1.44			
1.45	1.45			
1.46	1.46			
1.47	1.47			
1.48	1.48			
1.49	1.49			
1.5	1.5			
1.51	1.51			
1.52	1.52			
1.53	1.53			
1.54	1.54			
1.55	1.55			
1.56	1.56			
1.57	1.57			
1.58	1.58			
1.59	1.59			
1.6	1.6			
1.61	1.61			
1.62	1.62			
1.63	1.63			
1.64	1.64			
1.65	1.65			
1.66	1.66			
1.67	1.67			
1.68	1.68			
1.69	1.69			
1.7	1.7			
1.71	1.71			
1.72	1.72			
1.73	1.73			
1.74	1.74			
1.75	1.75			
1.76	1.76			
1.77	1.77			
1.78	1.78			
1.79	1.79			
1.8	1.8			
