v-sweep	v(Vin)	i(Vout)
0	0	-2.71635614E-07
0.01	0.01	-2.71571906E-07
0.02	0.02	-2.71500397E-07
0.03	0.03	-2.71426842E-07
0.04	0.04	-2.71349165E-07
0.05	0.05	-2.71267318E-07
0.06	0.06	-2.71181214E-07
0.07	0.07	-2.71090791E-07
0.08	0.08	-2.70995983E-07
0.09	0.09	-2.70896713E-07
0.1	0.1	-2.70792981E-07
0.11	0.11	-2.70684708E-07
0.12	0.12	-2.7057191E-07
0.13	0.13	-2.70454485E-07
0.14	0.14	-2.70332386E-07
0.15	0.15	-2.70205597E-07
0.16	0.16	-2.70074011E-07
0.17	0.17	-2.69937509E-07
0.18	0.18	-2.69795954E-07
0.19	0.19	-2.69649128E-07
0.2	0.2	-2.69496752E-07
0.21	0.21	-2.69338436E-07
0.22	0.22	-2.69173484E-07
0.23	0.23	-2.69001241E-07
0.24	0.24	-2.68820592E-07
0.25	0.25	-2.68630039E-07
0.26	0.26	-2.68427598E-07
0.27	0.27	-2.68210499E-07
0.28	0.28	-2.67975054E-07
0.29	0.29	-2.67716452E-07
0.3	0.3	-2.67428113E-07
0.31	0.31	-2.67101434E-07
0.32	0.32	-2.66725181E-07
0.33	0.33	-2.66284573E-07
0.34	0.34	-2.65760725E-07
0.35	0.35	-2.65129358E-07
0.36	0.36	-2.64359727E-07
0.37	0.37	-2.6341344E-07
0.38	0.38	-2.62242999E-07
0.39	0.39	-2.60790415E-07
0.4	0.4	-2.58986177E-07
0.41	0.41	-2.56748159E-07
0.42	0.42	-2.53981284E-07
0.43	0.43	-2.5057772E-07
0.44	0.44	-2.46417912E-07
0.45	0.45	-2.41372597E-07
0.46	0.46	-2.3530589E-07
0.47	0.47	-2.28079145E-07
0.48	0.48	-2.19556057E-07
0.49	0.49	-2.0960821E-07
0.5	0.5	-1.98122279E-07
0.51	0.51	-1.85007472E-07
0.52	0.52	-1.70204054E-07
0.53	0.53	-1.53692035E-07
0.54	0.54	-1.35499334E-07
0.55	0.55	-1.15709298E-07
0.56	0.56	-9.44652001E-08
0.57	0.57	-7.19714066E-08
0.58	0.58	-4.84898663E-08
0.59	0.59	-2.43314986E-08
0.6	0.6	1.57413638E-10
0.61	0.61	2.46127101E-08
0.62	0.62	4.86715379E-08
0.63	0.63	7.19919555E-08
0.64	0.64	9.42695308E-08
0.65	0.65	1.15250536E-07
0.66	0.66	1.34739409E-07
0.67	0.67	1.52602063E-07
0.68	0.68	1.68763762E-07
0.69	0.69	1.83204378E-07
0.7	0.7	1.95951138E-07
0.71	0.71	2.07069739E-07
0.72	0.72	2.16656304E-07
0.73	0.73	2.24828383E-07
0.74	0.74	2.31717671E-07
0.75	0.75	2.37462729E-07
0.76	0.76	2.42203306E-07
0.77	0.77	2.46075338E-07
0.78	0.78	2.49207119E-07
0.79	0.79	2.51716649E-07
0.8	0.8	2.537098E-07
0.81	0.81	2.55279787E-07
