 v-sweep         v(Vin)          i(Vout)        
 0.00000000e+00  0.00000000e+00 -2.71635614e-07 
 1.00000000e-02  1.00000000e-02 -2.71571906e-07 
 2.00000000e-02  2.00000000e-02 -2.71500397e-07 
 3.00000000e-02  3.00000000e-02 -2.71426842e-07 
 4.00000000e-02  4.00000000e-02 -2.71349165e-07 
 5.00000000e-02  5.00000000e-02 -2.71267318e-07 
 6.00000000e-02  6.00000000e-02 -2.71181214e-07 
 7.00000000e-02  7.00000000e-02 -2.71090791e-07 
 8.00000000e-02  8.00000000e-02 -2.70995983e-07 
 9.00000000e-02  9.00000000e-02 -2.70896713e-07 
 1.00000000e-01  1.00000000e-01 -2.70792981e-07 
 1.10000000e-01  1.10000000e-01 -2.70684708e-07 
 1.20000000e-01  1.20000000e-01 -2.70571910e-07 
 1.30000000e-01  1.30000000e-01 -2.70454485e-07 
 1.40000000e-01  1.40000000e-01 -2.70332386e-07 
 1.50000000e-01  1.50000000e-01 -2.70205597e-07 
 1.60000000e-01  1.60000000e-01 -2.70074011e-07 
 1.70000000e-01  1.70000000e-01 -2.69937509e-07 
 1.80000000e-01  1.80000000e-01 -2.69795954e-07 
 1.90000000e-01  1.90000000e-01 -2.69649128e-07 
 2.00000000e-01  2.00000000e-01 -2.69496752e-07 
 2.10000000e-01  2.10000000e-01 -2.69338436e-07 
 2.20000000e-01  2.20000000e-01 -2.69173484e-07 
 2.30000000e-01  2.30000000e-01 -2.69001241e-07 
 2.40000000e-01  2.40000000e-01 -2.68820592e-07 
 2.50000000e-01  2.50000000e-01 -2.68630039e-07 
 2.60000000e-01  2.60000000e-01 -2.68427598e-07 
 2.70000000e-01  2.70000000e-01 -2.68210499e-07 
 2.80000000e-01  2.80000000e-01 -2.67975054e-07 
 2.90000000e-01  2.90000000e-01 -2.67716452e-07 
 3.00000000e-01  3.00000000e-01 -2.67428113e-07 
 3.10000000e-01  3.10000000e-01 -2.67101434e-07 
 3.20000000e-01  3.20000000e-01 -2.66725181e-07 
 3.30000000e-01  3.30000000e-01 -2.66284573e-07 
 3.40000000e-01  3.40000000e-01 -2.65760725e-07 
 3.50000000e-01  3.50000000e-01 -2.65129358e-07 
 3.60000000e-01  3.60000000e-01 -2.64359727e-07 
 3.70000000e-01  3.70000000e-01 -2.63413440e-07 
 3.80000000e-01  3.80000000e-01 -2.62242999e-07 
 3.90000000e-01  3.90000000e-01 -2.60790415e-07 
 4.00000000e-01  4.00000000e-01 -2.58986177e-07 
 4.10000000e-01  4.10000000e-01 -2.56748159e-07 
 4.20000000e-01  4.20000000e-01 -2.53981284e-07 
 4.30000000e-01  4.30000000e-01 -2.50577720e-07 
 4.40000000e-01  4.40000000e-01 -2.46417912e-07 
 4.50000000e-01  4.50000000e-01 -2.41372597e-07 
 4.60000000e-01  4.60000000e-01 -2.35305890e-07 
 4.70000000e-01  4.70000000e-01 -2.28079145e-07 
 4.80000000e-01  4.80000000e-01 -2.19556057e-07 
 4.90000000e-01  4.90000000e-01 -2.09608210e-07 
 5.00000000e-01  5.00000000e-01 -1.98122279e-07 
 5.10000000e-01  5.10000000e-01 -1.85007472e-07 
 5.20000000e-01  5.20000000e-01 -1.70204054e-07 
 5.30000000e-01  5.30000000e-01 -1.53692035e-07 
 5.40000000e-01  5.40000000e-01 -1.35499334e-07 
 5.50000000e-01  5.50000000e-01 -1.15709298e-07 
 5.60000000e-01  5.60000000e-01 -9.44652001e-08 
 5.70000000e-01  5.70000000e-01 -7.19714066e-08 
 5.80000000e-01  5.80000000e-01 -4.84898663e-08 
 5.90000000e-01  5.90000000e-01 -2.43314986e-08 
 6.00000000e-01  6.00000000e-01  1.57413638e-10 
 6.10000000e-01  6.10000000e-01  2.46127101e-08 
 6.20000000e-01  6.20000000e-01  4.86715379e-08 
 6.30000000e-01  6.30000000e-01  7.19919555e-08 
 6.40000000e-01  6.40000000e-01  9.42695308e-08 
 6.50000000e-01  6.50000000e-01  1.15250536e-07 
 6.60000000e-01  6.60000000e-01  1.34739409e-07 
 6.70000000e-01  6.70000000e-01  1.52602063e-07 
 6.80000000e-01  6.80000000e-01  1.68763762e-07 
 6.90000000e-01  6.90000000e-01  1.83204378e-07 
 7.00000000e-01  7.00000000e-01  1.95951138e-07 
 7.10000000e-01  7.10000000e-01  2.07069739e-07 
 7.20000000e-01  7.20000000e-01  2.16656304e-07 
 7.30000000e-01  7.30000000e-01  2.24828383e-07 
 7.40000000e-01  7.40000000e-01  2.31717671e-07 
 7.50000000e-01  7.50000000e-01  2.37462729e-07 
 7.60000000e-01  7.60000000e-01  2.42203306e-07 
 7.70000000e-01  7.70000000e-01  2.46075338e-07 
 7.80000000e-01  7.80000000e-01  2.49207119e-07 
 7.90000000e-01  7.90000000e-01  2.51716649e-07 
 8.00000000e-01  8.00000000e-01  2.53709800e-07 
 8.10000000e-01  8.10000000e-01  2.55279787e-07 
 8.20000000e-01  8.20000000e-01  2.56506716e-07 
 8.30000000e-01  8.30000000e-01  2.57458659e-07 
 8.40000000e-01  8.40000000e-01  2.58192351e-07 
 8.50000000e-01  8.50000000e-01  2.58754362e-07 
 8.60000000e-01  8.60000000e-01  2.59182471e-07 
 8.70000000e-01  8.70000000e-01  2.59506955e-07 
 8.80000000e-01  8.80000000e-01  2.59751737e-07 
 8.90000000e-01  8.90000000e-01  2.59935732e-07 
 9.00000000e-01  9.00000000e-01  2.60073470e-07 
 9.10000000e-01  9.10000000e-01  2.60176307e-07 
 9.20000000e-01  9.20000000e-01  2.60252818e-07 
 9.30000000e-01  9.30000000e-01  2.60309662e-07 
 9.40000000e-01  9.40000000e-01  2.60351783e-07 
 9.50000000e-01  9.50000000e-01  2.60382905e-07 
 9.60000000e-01  9.60000000e-01  2.60405891e-07 
 9.70000000e-01  9.70000000e-01  2.60422873e-07 
 9.80000000e-01  9.80000000e-01  2.60435328e-07 
 9.90000000e-01  9.90000000e-01  2.60444516e-07 
 1.00000000e+00  1.00000000e+00  2.60451287e-07 
 1.01000000e+00  1.01000000e+00  2.60456233e-07 
 1.02000000e+00  1.02000000e+00  2.60459927e-07 
 1.03000000e+00  1.03000000e+00  2.60462564e-07 
 1.04000000e+00  1.04000000e+00  2.60464518e-07 
 1.05000000e+00  1.05000000e+00  2.60466003e-07 
 1.06000000e+00  1.06000000e+00  2.60467004e-07 
 1.07000000e+00  1.07000000e+00  2.60467779e-07 
 1.08000000e+00  1.08000000e+00  2.60468347e-07 
 1.09000000e+00  1.09000000e+00  2.60468745e-07 
 1.10000000e+00  1.10000000e+00  2.60469079e-07 
 1.11000000e+00  1.11000000e+00  2.60469278e-07 
 1.12000000e+00  1.12000000e+00  2.60469449e-07 
 1.13000000e+00  1.13000000e+00  2.60469555e-07 
 1.14000000e+00  1.14000000e+00  2.60469676e-07 
 1.15000000e+00  1.15000000e+00  2.60469754e-07 
 1.16000000e+00  1.16000000e+00  2.60469754e-07 
 1.17000000e+00  1.17000000e+00  2.60469740e-07 
 1.18000000e+00  1.18000000e+00  2.60469797e-07 
 1.19000000e+00  1.19000000e+00  2.60469783e-07 
 1.20000000e+00  1.20000000e+00  2.60469861e-07 
 1.21000000e+00  1.21000000e+00  2.60469854e-07 
 1.22000000e+00  1.22000000e+00  2.60469854e-07 
 1.23000000e+00  1.23000000e+00  2.60469847e-07 
 1.24000000e+00  1.24000000e+00  2.60469882e-07 
 1.25000000e+00  1.25000000e+00  2.60469889e-07 
 1.26000000e+00  1.26000000e+00  2.60469918e-07 
 1.27000000e+00  1.27000000e+00  2.60469847e-07 
 1.28000000e+00  1.28000000e+00  2.60469854e-07 
 1.29000000e+00  1.29000000e+00  2.60469882e-07 
 1.30000000e+00  1.30000000e+00  2.60469896e-07 
 1.31000000e+00  1.31000000e+00  2.60469889e-07 
 1.32000000e+00  1.32000000e+00  2.60469882e-07 
 1.33000000e+00  1.33000000e+00  2.60469847e-07 
 1.34000000e+00  1.34000000e+00  2.60469839e-07 
 1.35000000e+00  1.35000000e+00  2.60469868e-07 
 1.36000000e+00  1.36000000e+00  2.60469868e-07 
 1.37000000e+00  1.37000000e+00  2.60469854e-07 
 1.38000000e+00  1.38000000e+00  2.60469882e-07 
 1.39000000e+00  1.39000000e+00  2.60469875e-07 
 1.40000000e+00  1.40000000e+00  2.60469832e-07 
 1.41000000e+00  1.41000000e+00  2.60469861e-07 
 1.42000000e+00  1.42000000e+00  2.60469839e-07 
 1.43000000e+00  1.43000000e+00  2.60469811e-07 
 1.44000000e+00  1.44000000e+00  2.60469832e-07 
 1.45000000e+00  1.45000000e+00  2.60469847e-07 
 1.46000000e+00  1.46000000e+00  2.60469811e-07 
 1.47000000e+00  1.47000000e+00  2.60469847e-07 
 1.48000000e+00  1.48000000e+00  2.60469790e-07 
 1.49000000e+00  1.49000000e+00  2.60469818e-07 
 1.50000000e+00  1.50000000e+00  2.60469797e-07 
 1.51000000e+00  1.51000000e+00  2.60469818e-07 
 1.52000000e+00  1.52000000e+00  2.60469811e-07 
 1.53000000e+00  1.53000000e+00  2.60469804e-07 
 1.54000000e+00  1.54000000e+00  2.60469768e-07 
 1.55000000e+00  1.55000000e+00  2.60469776e-07 
 1.56000000e+00  1.56000000e+00  2.60469761e-07 
 1.57000000e+00  1.57000000e+00  2.60469733e-07 
 1.58000000e+00  1.58000000e+00  2.60469733e-07 
 1.59000000e+00  1.59000000e+00  2.60469697e-07 
 1.60000000e+00  1.60000000e+00  2.60469719e-07 
 1.61000000e+00  1.61000000e+00  2.60469690e-07 
 1.62000000e+00  1.62000000e+00  2.60469704e-07 
