 v-sweep         v(V2)           v(Vout)        
 0.00000000e+00  0.00000000e+00  9.94489863e-01 
 1.00000000e-03  0.00000000e+00  1.64300033e+00 
 2.00000000e-03  0.00000000e+00  1.69211255e+00 
 3.00000000e-03  0.00000000e+00  1.71441284e+00 
 4.00000000e-03  0.00000000e+00  1.72605466e+00 
 5.00000000e-03  0.00000000e+00  1.73455711e+00 
 6.00000000e-03  0.00000000e+00  1.74045725e+00 
 7.00000000e-03  0.00000000e+00  1.74494857e+00 
 8.00000000e-03  0.00000000e+00  1.74863706e+00 
 9.00000000e-03  0.00000000e+00  1.75173560e+00 
 1.00000000e-02  0.00000000e+00  1.75439085e+00 
 1.10000000e-02  0.00000000e+00  1.75670969e+00 
 1.20000000e-02  0.00000000e+00  1.75876537e+00 
 1.30000000e-02  0.00000000e+00  1.76060996e+00 
 1.40000000e-02  0.00000000e+00  1.76228158e+00 
 1.50000000e-02  0.00000000e+00  1.76380900e+00 
 1.60000000e-02  0.00000000e+00  1.76521439e+00 
 1.70000000e-02  0.00000000e+00  1.76651516e+00 
 1.80000000e-02  0.00000000e+00  1.76772527e+00 
 1.90000000e-02  0.00000000e+00  1.76885598e+00 
 2.00000000e-02  0.00000000e+00  1.76991660e+00 
 2.10000000e-02  0.00000000e+00  1.77091484e+00 
 2.20000000e-02  0.00000000e+00  1.77185720e+00 
 2.30000000e-02  0.00000000e+00  1.77274919e+00 
 2.40000000e-02  0.00000000e+00  1.77359553e+00 
 2.50000000e-02  0.00000000e+00  1.77440028e+00 
 2.60000000e-02  0.00000000e+00  1.77516699e+00 
 2.70000000e-02  0.00000000e+00  1.77589874e+00 
 2.80000000e-02  0.00000000e+00  1.77659826e+00 
 2.90000000e-02  0.00000000e+00  1.77726796e+00 
 3.00000000e-02  0.00000000e+00  1.77790994e+00 
 3.10000000e-02  0.00000000e+00  1.77852616e+00 
 3.20000000e-02  0.00000000e+00  1.77911829e+00 
 3.30000000e-02  0.00000000e+00  1.77968791e+00 
 3.40000000e-02  0.00000000e+00  1.78023639e+00 
 3.50000000e-02  0.00000000e+00  1.78076502e+00 
 3.60000000e-02  0.00000000e+00  1.78127492e+00 
 3.70000000e-02  0.00000000e+00  1.78176716e+00 
 3.80000000e-02  0.00000000e+00  1.78224270e+00 
 3.90000000e-02  0.00000000e+00  1.78270243e+00 
 4.00000000e-02  0.00000000e+00  1.78314714e+00 
 4.10000000e-02  0.00000000e+00  1.78357761e+00 
 4.20000000e-02  0.00000000e+00  1.78399453e+00 
 4.30000000e-02  0.00000000e+00  1.78439854e+00 
 4.40000000e-02  0.00000000e+00  1.78479023e+00 
 4.50000000e-02  0.00000000e+00  1.78517017e+00 
 4.60000000e-02  0.00000000e+00  1.78553887e+00 
 4.70000000e-02  0.00000000e+00  1.78589679e+00 
 4.80000000e-02  0.00000000e+00  1.78624445e+00 
 4.90000000e-02  0.00000000e+00  1.78658223e+00 
 5.00000000e-02  0.00000000e+00  1.78691053e+00 
 5.10000000e-02  0.00000000e+00  1.78722974e+00 
 5.20000000e-02  0.00000000e+00  1.78754020e+00 
 5.30000000e-02  0.00000000e+00  1.78784225e+00 
 5.40000000e-02  0.00000000e+00  1.78813620e+00 
 5.50000000e-02  0.00000000e+00  1.78842235e+00 
 5.60000000e-02  0.00000000e+00  1.78870099e+00 
 5.70000000e-02  0.00000000e+00  1.78897236e+00 
